EXECYEAR,DATE_START,VOLUMEDREDGED,RIVER,POOL,UP_RIV_MIL,DN_RIV_MIL,week_of_year,lead_7,lead_14,BEAI2,BRLI4,CMMI4,COPI2,DBQI4,FAII4,GGYM7,HAVI2,HNNM7,HNYI2,IL03,IL03_Tail,IL04,IL04_Tail,IL05,IL05_Tail,IL06,IL06_Tail,IL07,IL07_Tail,IL08,IL08_Tail,KHBI2,KNGI2,LSLI2,MI11,MI11_Tail,MI12,MI12_Tail,MI13,MI13_Tail,MI14,MI14_Tail,MI15,MI15_Tail,MI16,MI16_Tail,MI17,MI17_Tail,MI18,MI18_Tail,MI19,MI19_Tail,MI20,MI20_Tail,MI21,MI21_Tail,MI22,MI22_Tail,MORI2,MUSI4,PIAI2,UINI2,05552500,05527500,05585000,05446500,05583000,05570000,05555300
2005,2005-07-27T00:00:00Z,0,Mississippi_River,22,312.5,311,30,2005-07-26T23:59:53Z,2005-07-26T23:59:46Z,429.45,519.63,572.77,431.55,593.56,545.24,479.31,430.65,459.93,441.53,538.7,504.69,504.65,484.99,483.45,459.77,458.88,443.24,440.9,432.35,429.79,419.97,529.61,431.35,442.4,602.67,593.55,591.9,585.66,583.1,573.87,572,561.95,561.18,547.41,545.07,537.52,535.81,530.91,528.03,520.51,518.32,480.6,478.93,472.82,470.21,461.99,459.27,451.62,484.46,536.96,441.01,470.13,467.69,512.23,435.03,567.62,455.87,471.09,524.81
2014,2014-08-15T00:00:00Z,0,Mississippi_River,22,320.5,319,33,2014-08-14T23:59:53Z,2014-08-14T23:59:46Z,429.81,519.66,572.55,431.97,593.33,544.99,478.68,430.85,460.72,440.73,538.65,505.36,505.02,484.91,483.49,459.11,458.88,441.39,440.1,432.7,429.39,422.18,529.74,431.92,441.26,603.27,593.46,592.09,585.32,583.09,573.51,571.85,561.6,560.97,547.03,544.8,537.28,535.55,530.74,527.66,520.43,518.16,480.57,477.4,473.55,470.15,463.34,460.02,452.45,484.23,536.79,440.46,470.25,468.19,512.03,436.61,569.23,456.26,471.7,524.51
2012,2012-05-15T00:00:00Z,0,Mississippi_River,22,320.5,319,20,2012-05-14T23:59:53Z,2012-05-14T23:59:46Z,433.17,523.85,576.74,441.13,598.26,546.23,482.67,438.94,462.36,445.35,538.84,504.66,504.69,485.58,483.39,459.84,458.89,447.39,443.21,443.21,430.82,430.82,534.03,442,446.85,603.4,598.89,592.3,591.9,582.83,579.57,572.26,564.98,561.03,553.43,543.86,543.35,537.9,537.55,527.86,525.64,518.17,486.64,478.53,478.15,470.18,468.27,459.35,456.98,484.95,542,444.41,470.72,469.48,513.39,438.45,571.67,457.71,475.57,526.62
2006,2006-06-15T00:00:00Z,0,Mississippi_River,22,312.5,311,24,2006-06-14T23:59:53Z,2006-06-14T23:59:46Z,430.22,520.52,573.15,434.24,593.26,545.59,479.73,432.93,460.09,441.54,538.99,504.74,504.82,484.83,483.51,459.56,458.93,442.85,440.61,435.68,429.4,424.32,530.38,434.78,442.71,602.78,593.27,591.72,585.73,583.09,574.37,572.16,562.14,561.32,548.18,545.21,538.22,535.72,532.17,528.01,521.58,518.28,481.92,478.72,473.58,470.2,463.22,459.58,452.58,484.49,537.54,440.87,470.16,468.3600001,512.83,436.09,570.94,457.38,472.13,525.51
2006,2006-08-08T00:00:00Z,0,Mississippi_River,22,313,311.8,32,2006-08-07T23:59:53Z,2006-08-07T23:59:46Z,429.6,519.36,572.89,432.34,593.58,545.58,480.01,431.3,459.9,440.59,539.13,504.79,504.86,485.04,483.54,459.22,458.83,441.13,440.35,433.58,429.22,422.74,529.35,432.64,440.94,603.23,593.66,592.26,585.54,582.91,573.96,572.09,561.72,560.96,547.52,545.34,537.84,536.09,530.73,527.98,520.26,518.24,480.68,479.79,471.85,470.09,461.29,459.61,450.97,483.89,537.17,440.36,470.1,467.4299998,512.22,434.63,568.43,456.54,470.83,524.6
2005,2005-11-22T00:00:00Z,0,Mississippi_River,22,324.6,323.6,47,2005-11-21T23:59:53Z,2005-11-21T23:59:46Z,429.99,519.66,573.27,431.49,594.05,545.37,479.36,430.79,459.93,440.58,538.81,504.64,504.66,484.03,483.63,459.17,458.86,440.94,440.36,432.15,429.58,420.6,529.68,431.66,440.67,603.23,593.97,592.25,586.1,583.21,574.5,572.25,562,561.07,548.18,545.06,538,535.98,531.09,527.99,520.57,518.26,480.28,479.09,472.15,470.15,461.84,459.5,451.3,483.82,537.47,440.49,470.07,468.0199999,512.29,435.01,568.26,455.72,470.8,524.46
2012,2012-05-16T00:00:00Z,0,Mississippi_River,22,312,310.6,20,2012-05-15T23:59:53Z,2012-05-15T23:59:46Z,432.98,524.03,576.75,440.81,598.32,546.47,482.6,438.67,462.39,444.58,538.73,504.85,504.89,485.35,483.41,459.61,459.01,446.26,442.79,442.79,430.74,430.73,534.22,441.62,445.41,603.52,598.91,592.38,591.98,582.91,579.58,572.32,564.93,561.04,553.43,544.09,543.57,538.15,537.82,528.06,525.86,518.29,486.58,478.47,478.08,470.18,468.32,459.48,457.03,484.75,542.18,444,470.7,469.2000002,513.2,438.04,571.54,457.43,475.23,526.4
2015,2015-06-18T00:00:00Z,0,Mississippi_River,22,306.5,305.3,25,2015-06-17T23:59:53Z,2015-06-17T23:59:46Z,441.56,527.65,577.47,447.57,597.71,549.16,488.32,445.38,467.88,453.94,538.78,507.05,504.78,499.9,483.96,469.61,461.35,460.52,450.9,450.9,439.75,439.75,537.89,448.83,458.71,603.4,598.31,592.21,591.92,583.08,580.38,571.78,565.66,560.78,556.09,547.77,547.3,542.31,542.1,530.34,529.83,518.23,491.95,484.21,483.62,475.61,474.96,464.12,463.62,497.2,546.03,452.22,476.41,474.2000002,517.55,453.83,578.15,467.23,488.74,532.36
2004,2004-08-03T00:00:00Z,0,Mississippi_River,22,306.8,305.5,31,2004-08-02T23:59:53Z,2004-08-02T23:59:46Z,430,519.72,572.93,431.8,593.94,545.33,479.7,431.1,460.52,440.78,538.76,504.52,504.65,483.33,483.42,458.98,458.82,441.04,440.1,432.92,429.38,421.48,529.66,432.21,441.1,603,593.94,592.33,585.73,583.1,573.89,572.23,561.48,560.87,547.42,545.09,537.6,535.78,531.04,527.96,520.6,518.24,481.11,478.95,473.6,470.1,463.17,459.61,452.45,483.27,536.91,440.25,470.11,467.6199998,511.97,435.67,570.59,456.6,471.4,524.43
2010,2010-06-01T00:00:00Z,0,Mississippi_River,22,306,304,22,2010-05-31T23:59:53Z,2010-05-31T23:59:46Z,438.35,522.35,573.54,442.96,593.81,545.92,481.88,441.5,462.22,445.77,538.83,504.93,504.73,489.88,483.34,462.04,458.91,448.89,444.15,444.15,436.86,436.86,532.33,443.38,448.45,602.91,594.03,591.62,586.91,582.97,575.12,571.88,562.49,560.97,549.8,545.02,539.91,535.95,534.82,527.78,523.74,518.21,485.42,477.78,477.27,469.7,467.73,459.28,456.95,488.37,538.8,444.86,470.33,469.4900002,514.26,442.19,572.76,461.45,477.17,527.44
2010,2009-10-21T00:00:00Z,0,Mississippi_River,22,324.9,301.2,42,2009-10-20T23:59:53Z,2009-10-20T23:59:46Z,429.73,520.27,572.83,432.03,593.1,545.57,479.83,431.22,459.83,440.55,538.87,504.63,504.74,483.98,483.39,458.83,458.89,441.32,439.88,432.77,429.3,423.96,530.1,432.36,440.91,603.02,593.17,591.91,585.11,582.98,573.82,572.15,561.79,561.15,547.85,545.05,538.15,535.96,531.84,528.04,521.2,518.23,481.89,479.09,472.84,470.35,462.24,459.18,451.77,483.4,537.51,440.2,470.27,468.2000002,512.13,436.96,570.53,459.29,472.42,524.73
2010,2010-04-04T00:00:00Z,0,Mississippi_River,20,364.3,343.2,14,2010-04-03T23:59:53Z,2010-04-03T23:59:46Z,437.81,527.33,579.05,441.84,600.75,549.64,488.19,440.77,467.77,444.38,538.7,504.57,504.68,485.39,483.48,459.66,458.86,445.98,442.98,442.98,436.39,436.39,537.37,442.12,445.52,603.14,601.52,594.62,594.15,583.03,582.57,572.14,566.58,561.1,556.32,547.59,547.12,541.82,541.51,529.77,529.26,518.16,492.12,484.13,483.42,475.66,474.75,464.12,463.59,484.72,545.82,443.54,476.49,469.3200001,513.39,448.71,572.9,462.54,478.18,526.34
2010,2010-03-23T00:00:00Z,0,Mississippi_River,19,410.5,364.3,12,2010-03-22T23:59:53Z,2010-03-22T23:59:46Z,439.89,528.46,578.08,444.81,599.74,549.41,489.98,443.23,469.54,447.89,538.7,504.46,504.51,487.69,483.37,461.41,458.9,450.36,446.39,446.39,438.26,438.26,538.48,445.27,449.27,603.11,600.46,593.66,593.2,583.05,581.17,571.78,566.1,560.97,556.13,547.96,547.51,543.06,542.81,531.14,530.6,518.16,494.13,485.88,485.19,477.57,476.76,465.89,465.35,486.77,546.33,447.32,478.39,471.4100003,513.75,446.51,575.46,461.48,480.56,527.31
2010,2010-04-25T00:00:00Z,0,Mississippi_River,16,482.9,457.2,17,2010-04-24T23:59:53Z,2010-04-24T23:59:46Z,433.11,523.68,574.67,437.81,595.52,546.25,484.82,437.06,464.78,440.98,538.56,504.57,504.65,486.04,483.52,459.98,458.97,443.42,438.73,438.73,431.27,431.27,533.54,438.09,443.35,603.31,595.88,592.43,588.59,583.03,576.65,572.2,563.1,560.9,551.28,544.93,541.12,536.59,536.34,528.3,525.12,518.33,488.8,480.71,480.11,472.51,471.53,460.84,460.32,485.31,539.95,439.45,473.09,469.69,513.15,450.98,572.93,459.46,478.69,525.94
