SurveyDateBefore,SurveyDateAfter,NetVolumeChange_CY,AnnualShoalingRate_ftperyr,AnnualShoalingVolume_CYperyr,SurveyOverlapArea_sqft,SurveyOverlapPctReach,river,pool,reach,source_file,Before_date,After_date,DateDiff,DailyShoalingRate_ftperday,DailyShoalingVolume_Cyperday,VolChange_Cyperday,score
20170802,20170804,21398.19,74.833,3905169.612,1409000,8.24,UM,11,19,UM_11_MVR_19_SurveyPairVolumeDifference.csv,2017-08-02,2017-08-04,2,37.4165,1952584.806,10699.095,54.36617890215464
20210412,20210413,1314.306,240.306,479721.845,53900,0.67,UM,11,5,UM_11_MVR_5_SurveyPairVolumeDifference.csv,2021-04-12,2021-04-13,1,240.306,479721.845,1314.306,13.328255123444697
20160811,20160815,-6943.633,-47.258,-633606.52,362000,2.36,UM,11,18,UM_11_MVR_18_SurveyPairVolumeDifference.csv,2016-08-11,2016-08-15,4,-11.8145,-158401.63,-1735.90825,-4.451581305244959
20210615,20210616,427.091,46.508,155888.039,90500,1.15,UM,11,16,UM_11_MVR_16_SurveyPairVolumeDifference.csv,2021-06-15,2021-06-16,1,46.508,155888.039,427.091,4.305374244849816
20210326,20210506,523543.867,36.984,4660817.352,3402600,35.9,UM,11,10,UM_11_MVR_10_SurveyPairVolumeDifference.csv,2021-03-26,2021-05-06,41,0.9020487804878049,113678.472,12769.3626097561,3.1293021735538695
20191106,20191120,-12353.994,-32.137,-322086.264,270600,1.1,UM,13,27,UM_13_MVR_27_SurveyPairVolumeDifference.csv,2019-11-06,2019-11-20,14,-2.2955,-23006.161714285718,-882.4281428571429,-3.8199006941608813
20010521,20010619,72573.776,49.394,913428.559,499300,5.53,UM,14,18,UM_14_MVR_18_SurveyPairVolumeDifference.csv,2001-05-21,2001-06-19,29,1.7032413793103447,31497.53651724138,2502.544,8.3555041180733909
20100911,20100916,15000.171,86.778,1095012.47,340700,2.46,UM,16,7,UM_16_MVR_7_SurveyPairVolumeDifference.csv,2010-09-11,2010-09-16,5,17.355600000000003,219002.494,3000.0342,16.134503946171826
20100911,20100916,8793.003,51.109,641889.232,339100,2.46,UM,16,8,UM_16_MVR_8_SurveyPairVolumeDifference.csv,2010-09-11,2010-09-16,5,10.2218,128377.8464,1758.6006000000002,9.46392421171902
20220809,20220815,83748.652,40.62,5094709.685,3386400,26.56,UM,18,19,UM_18_MVR_19_SurveyPairVolumeDifference.csv,2022-08-09,2022-08-15,6,6.77,849118.2808333333,13958.108666666667,43.514236663340306
