SurveyDateBefore,SurveyDateAfter,NetVolumeChange_CY,AnnualShoalingRate_ftperyr,AnnualShoalingVolume_CYperyr,SurveyOverlapArea_sqft,SurveyOverlapPctReach,river,pool,reach,source_file,Before_date,After_date,DateDiff,DailyShoalingRate_ftperday,DailyShoalingVolume_Cyperday,VolChange_Cyperday,score
20170802,20170804,11522.822,45.098,2102914.929,1259000,7.37,UM,11,19,UM_11_MVR_19_SurveyPairVolumeDifference.csv,2017-08-02,2017-08-04,2,22.549,1051457.4645,5761.411,20.10914896599566
20100519,20100603,-149.777,-42.784,-3644.584,2300,0.02,UM,12,22,UM_12_MVR_22_SurveyPairVolumeDifference.csv,2010-05-19,2010-06-03,15,-2.8522666666666665,-242.97226666666666,-9.985133333333332,-19.8295377936916
20210325,20210409,18692.381,33.49,454847.929,366700,3.1,UM,12,22,UM_12_MVR_22_SurveyPairVolumeDifference.csv,2021-03-25,2021-04-09,15,2.232666666666667,30323.195266666666,1246.1587333333334,15.38278380306726
20010521,20010619,72573.776,49.394,913428.559,499300,5.53,UM,14,18,UM_14_MVR_18_SurveyPairVolumeDifference.csv,2001-05-21,2001-06-19,29,1.7032413793103447,31497.53651724138,2502.544,28.978735666866235
20200422,20200504,223.769,32.816,6806.294,5600,0.04,UM,18,12,UM_18_MVR_12_SurveyPairVolumeDifference.csv,2020-04-22,2020-05-04,12,2.734666666666667,567.1911666666666,18.64741666666667,18.56701713045436
20110620,20110621,-1653.745,-47.808,-603616.888,340900,3.2,UM,19,12,UM_19_MVR_12_SurveyPairVolumeDifference.csv,2011-06-20,2011-06-21,1,-47.808,-603616.888,-1653.745,-26.07074449823575
20140727,20140812,817.096,70.885,18640.006,7100,0.04,UM,22,14,UM_22_MVR_14_SurveyPairVolumeDifference.csv,2014-07-27,2014-08-12,16,4.4303125,1165.000375,51.0685,23.92001170069215
20210317,20210503,150946.425,37.333,1172243.515,847800,5.13,UM,22,21,UM_22_MVR_21_SurveyPairVolumeDifference.csv,2021-03-17,2021-05-03,47,0.7943191489361702,24941.351382978723,3211.626063829787,12.53274615826678
20070710,20070711,-26.071,-44.299,-9516.016,5800,0.18,IL,LA,33,IL_LA_MVR_33_SurveyPairVolumeDifference.csv,2007-07-10,2007-07-11,1,-44.299,-9516.016,-26.071,-24.838682677309524
20230418,20231115,95.469,44.59,165.148,100,0,IL,MA,26,IL_MA_MVR_26_SurveyPairVolumeDifference.csv,2023-04-18,2023-11-15,211,0.2113270142180095,0.7826919431279621,0.4524597156398104,21.67529498272271
20070731,20090831,-3779923.117,-196.014,-1810593.094,249400,5.45,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,2007-07-31,2009-08-31,762,-0.25723622047244094,-2376.1064225721784,-4960.529024934383,-44.56721095597049
20090831,20130912,1838268.235,100.153,455511.138,122800,2.69,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,2009-08-31,2013-09-12,1473,0.06799253224711474,309.2404195519348,1247.9757196198236,22.690511689371686
20090831,20160413,7703338.549,61.708,1163309.297,509000,11.13,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,2009-08-31,2016-04-13,2417,0.025530823334712453,481.30297765825406,3187.1487583781545,13.959886241228647
20090831,20170418,9091950.61,53.619,1190729.09,599600,13.11,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,2009-08-31,2017-04-18,2787,0.01923896663078579,427.24402224614283,3262.2714782920702,12.12292358678648
20090831,20180504,1611906.359,46.558,185715.221,107700,2.36,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,2009-08-31,2018-05-04,3168,0.014696338383838384,58.6222288510101,508.80882544191917,10.519413473915158
20090831,20201028,8172983.256,36.574,731879.021,540300,11.82,IL,PE,1,IL_PE_MVR_1_SurveyPairVolumeDifference.csv,2009-08-31,2020-10-28,4076,0.008973012757605495,179.5581503925417,2005.1480019627086,8.252107856168763
20100806,20100811,35990.964,63.553,2627340.347,1116200,22.63,IL,SR,11,IL_SR_MVR_11_SurveyPairVolumeDifference.csv,2010-08-06,2010-08-11,5,12.7106,525468.0694,7198.1928,27.400751401975953
