SurveyDateBefore,SurveyDateAfter,NetVolumeChange_CY,AnnualShoalingRate_ftperyr,AnnualShoalingVolume_CYperyr,SurveyOverlapArea_sqft,SurveyOverlapPctReach,river,pool,reach,source_file,Before_date,After_date,DateDiff,DailyShoalingRate_ftperday,DailyShoalingVolume_Cyperday,VolChange_Cyperday,score
20170802,20170804,21398.19,74.833,3905169.612,1409000,8.24,UM,11,19,UM_11_MVR_19_SurveyPairVolumeDifference.csv,8/2/2017,8/4/2017,2,37,1952585,10699,54
20210412,20210413,1314.306,240.306,479721.845,53900,0.67,UM,11,5,UM_11_MVR_5_SurveyPairVolumeDifference.csv,4/12/2021,4/13/2021,1,240,479722,1314,13
20160811,20160815,-6943.633,-47.258,-633606.52,362000,2.36,UM,11,18,UM_11_MVR_18_SurveyPairVolumeDifference.csv,8/11/2016,8/15/2016,4,-12,-158402,-1736,-4
20210615,20210616,427.091,46.508,155888.039,90500,1.15,UM,11,16,UM_11_MVR_16_SurveyPairVolumeDifference.csv,6/15/2021,6/16/2021,1,47,155888,427,4
20210326,20210506,523543.867,36.984,4660817.352,3402600,35.9,UM,11,10,UM_11_MVR_10_SurveyPairVolumeDifference.csv,3/26/2021,5/6/2021,41,1,113678,12769,3
20191106,20191120,-12353.994,-32.137,-322086.264,270600,1.1,UM,13,27,UM_13_MVR_27_SurveyPairVolumeDifference.csv,11/6/2019,11/20/2019,14,-2,-23006,-882,-4
20010521,20010619,72573.776,49.394,913428.559,499300,5.53,UM,14,18,UM_14_MVR_18_SurveyPairVolumeDifference.csv,5/21/2001,6/19/2001,29,2,31498,2503,8
20100911,20100916,15000.171,86.778,1095012.47,340700,2.46,UM,16,7,UM_16_MVR_7_SurveyPairVolumeDifference.csv,9/11/2010,9/16/2010,5,17,219002,3000,16
20100911,20100916,8793.003,51.109,641889.232,339100,2.46,UM,16,8,UM_16_MVR_8_SurveyPairVolumeDifference.csv,9/11/2010,9/16/2010,5,10,128378,1759,9
20220809,20220815,83748.652,40.62,5094709.685,3386400,26.56,UM,18,19,UM_18_MVR_19_SurveyPairVolumeDifference.csv,8/9/2022,8/15/2022,6,7,849118,13958,44
20240826,20240829,-10393.471,-33.359,-1264539.015,1023500,9.25,UM,18,10,UM_18_MVR_10_SurveyPairVolumeDifference.csv,8/26/2024,8/29/2024,3,-11,-421513,-3464,-22
20240826,20240829,-6358.098,-32.212,-773568.611,648400,4.64,UM,18,11,UM_18_MVR_11_SurveyPairVolumeDifference.csv,8/26/2024,8/29/2024,3,-11,-257856,-2119,-13
20090923,20091006,-41350.238,-36.931,-1160987.459,848800,5.48,UM,18,12,UM_18_MVR_12_SurveyPairVolumeDifference.csv,9/23/2009,10/6/2009,13,-3,-89307,-3181,-5
20110620,20110621,-1653.745,-47.808,-603616.888,340900,3.2,UM,19,12,UM_19_MVR_12_SurveyPairVolumeDifference.csv,6/20/2011,6/21/2011,1,-48,-603617,-1654,-34
20180808,20180828,187301.584,60.405,3418253.908,1527900,13.08,UM,20,3,UM_20_MVR_3_SurveyPairVolumeDifference.csv,8/8/2018,8/28/2018,20,3,170913,9365,23
20200310,20200311,852.549,161.574,311180.328,52000,0.53,UM,21,7,UM_21_MVR_7_SurveyPairVolumeDifference.csv,3/10/2020,3/11/2020,1,162,311180,853,33
20130912,20130917,89069.856,137.282,6502099.511,1278800,6.66,UM,22,20,UM_22_MVR_20_SurveyPairVolumeDifference.csv,9/12/2013,9/17/2013,5,27,1300420,17814,43
20090616,20090617,2608.588,256.563,952134.767,100200,0.62,UM,22,14,UM_22_MVR_14_SurveyPairVolumeDifference.csv,6/16/2009,6/17/2009,1,257,952135,2609,32
20220711,20220803,444860.108,41.197,7059736.489,4626900,30.58,UM,24,1,UM_24_MVR_1_SurveyPairVolumeDifference.csv,7/11/2022,8/3/2022,23,2,306945,19342,8
20070123,20070124,512.859,114.349,187193.717,44200,1.05,IL,DR,8,IL_DR_MVR_8_SurveyPairVolumeDifference.csv,1/23/2007,1/24/2007,1,114,187194,513,24
20210420,20210421,8937.368,991.867,3262139.369,88800,2.02,IL,LA,35,IL_LA_MVR_35_SurveyPairVolumeDifference.csv,4/20/2021,4/21/2021,1,992,3262139,8937,75
20040428,20040429,659.581,125.003,240747.053,52000,1.29,IL,LA,14,IL_LA_MVR_14_SurveyPairVolumeDifference.csv,4/28/2004,4/29/2004,1,125,240747,660,6
20230517,20230518,404.891,47.673,147785.151,83700,2.71,IL,LA,31,IL_LA_MVR_31_SurveyPairVolumeDifference.csv,5/17/2023,5/18/2023,1,48,147785,405,3
20130508,20130515,13023.115,44.806,679062.448,409200,7.07,IL,MA,3,IL_MA_MVR_3_SurveyPairVolumeDifference.csv,5/8/2013,5/15/2013,7,6,97009,1860,25
20230208,20230209,139.194,63.214,50805.66,21700,0.56,IL,MA,9,IL_MA_MVR_9_SurveyPairVolumeDifference.csv,2/8/2023,2/9/2023,1,63,50806,139,13
20040513,20040526,176995.256,78.493,4969482.185,1709400,31.68,IL,PE,58,IL_PE_MVR_58_SurveyPairVolumeDifference.csv,5/13/2004,5/26/2004,13,6,382268,13615,39
20040513,20040526,70567.824,42.272,1981327.363,1265500,27.52,IL,PE,59,IL_PE_MVR_59_SurveyPairVolumeDifference.csv,5/13/2004,5/26/2004,13,3,152410,5428,16
20220525,20220613,145011.661,58.597,2785750.323,1283600,25.9,IL,PE,73,IL_PE_MVR_73_SurveyPairVolumeDifference.csv,5/25/2022,6/13/2022,19,3,146618,7632,15
20160907,20160913,10077.309,56.414,613036.288,293400,6.68,IL,PE,57,IL_PE_MVR_57_SurveyPairVolumeDifference.csv,9/7/2016,9/13/2016,6,9,102173,1680,10
20220525,20220613,91058.385,59.112,1749279.503,799000,24.55,IL,PE,72,IL_PE_MVR_72_SurveyPairVolumeDifference.csv,5/25/2022,6/13/2022,19,3,92067,4793,9
20190625,20190627,885.99,62.636,161693.258,69700,1.59,IL,PE,57,IL_PE_MVR_57_SurveyPairVolumeDifference.csv,6/25/2019,6/27/2019,2,31,80847,443,8
20100810,20100811,33451.218,362.944,12209694.68,908300,18.42,IL,SR,11,IL_SR_MVR_11_SurveyPairVolumeDifference.csv,8/10/2010,8/11/2010,1,363,12209695,33451,33
