NetVolumeChange_CY,AnnualShoalingRate_ftperyr,AnnualShoalingVolume_CYperyr,SurveyOverlapArea_sqft,SurveyOverlapPctReach,river,pool,reach,source_file,Before_date,After_date,DateDiff,DailyShoalingVolume_Cyperday,VolChange_Cyperday,score,Omitted?,Surveys Associated,Reason
-26.071,-44.299,-9516.016,5800,0.18,IL,LA,33,IL_LA_MVR_33_SurveyPairVolumeDifference.csv,7/10/2007,7/11/2007,1,-9516,-26,-13,IL_LA_MVR_20070711_CS_11161126_07A,"IL_LA_MVR_20070711_CS_11161126_07A, IL_LA_MVR_20070710_CS_11261136_07A ",1day datediff
-26.071,-44.299,-9516.016,5800,0.18,IL,LA,33,IL_LA_MVR_33_SurveyPairVolumeDifference.csv,7/10/2007,7/11/2007,1,-9516.016,-26.071,-24.83868268,IL_LA_MVR_20070711_CS_11161126_07A,"IL_LA_MVR_20070711_CS_11161126_07A, IL_LA_MVR_20070710_CS_11261136_07A ",1day datediff
5761.155,35.731,60080.614,45400,1,IL,LA,34,IL_LA_MVR_34_SurveyPairVolumeDifference.csv,4/20/2021,5/25/2021,35,1717,165,11, IL_LA_MVR_20210420_CS_11401170_21A," IL_LA_MVR_20210421_CS_11191140_21A, IL_LA_MVR_20210525_CS_11201140_21B",multibeam to singlebeam
410725.714,31.507,4283282.449,3670600,83.47,IL,LA,35,IL_LA_MVR_35_SurveyPairVolumeDifference.csv,4/20/2021,5/25/2021,35,122379,11735,9, IL_LA_MVR_20210420_CS_11401170_21A, IL_LA_MVR_20210420_CS_11401170_21A,funky survey
394966.313,31.585,4118934.409,3521000,82.37,IL,LA,36,IL_LA_MVR_36_SurveyPairVolumeDifference.csv,4/20/2021,5/25/2021,35,117684,11285,9, IL_LA_MVR_20210420_CS_11401170_21A, IL_LA_MVR_20210420_CS_11401170_21A,funky survey
374484.267,31.846,3905335.929,3311100,81.41,IL,LA,37,IL_LA_MVR_37_SurveyPairVolumeDifference.csv,4/20/2021,5/25/2021,35,111581,10700,9, IL_LA_MVR_20210420_CS_11401170_21A, IL_LA_MVR_20210420_CS_11401170_21A,funky survey
159611.671,36.026,1354843.254,1015400,24.67,IL,LA,38,IL_LA_MVR_38_SurveyPairVolumeDifference.csv,5/23/2000,7/5/2000,43,31508,3712,11,IL_LA_MVR_20000523_CS_11151167_00A,IL_LA_MVR_20000523_CS_11151167_00A,survey chunk missing
8899.201,32.291,92805.955,77600,1.89,IL,LA,38,IL_LA_MVR_38_SurveyPairVolumeDifference.csv,4/20/2021,5/25/2021,35,2652,254,10,IL_LA_MVR_20000523_CS_11151167_00A,IL_LA_MVR_20000523_CS_11151167_00A,funky survey
1040.313,43.077,5424.489,3400,0.09,IL,LA,56,IL_LA_MVR_56_SurveyPairVolumeDifference.csv,6/20/2007,8/29/2007,70,77,15,13,CEMVR_DIS_IL_LA_MVR_20070829_CS_13551359_07A,CEMVR_DIS_IL_LA_MVR_20070829_CS_13551359_07A,off channel
8893.62,45.626,324617.123,192100,5.09,IL,LA,57,IL_LA_MVR_57_SurveyPairVolumeDifference.csv,9/20/2004,9/30/2004,10,32462,889,14,20040920_AD_13681371_04D,"20040920_AD_13681371_04D,  IL_LA_MVR_20040930_BD_13641373_04E",post dredge nto a predredge
2196.9,30.753,100233.573,88000,2.33,IL,LA,57,IL_LA_MVR_57_SurveyPairVolumeDifference.csv,4/24/2001,5/2/2001,8,12529,275,9,IL_LA_MVR_20010502_CS_13311360_01A,"IL_LA_MVR_20010424_CS_13601374_01A, IL_LA_MVR_20010502_CS_13311360_01A",small overlap between surveys
3655.478,45.833,133424.938,78600,2.04,IL,LA,58,IL_LA_MVR_58_SurveyPairVolumeDifference.csv,9/20/2004,9/30/2004,10,13342,366,14,20040920_AD_13681371_04D,20040920_AD_13681371_04D,post dredge into a predredge
320.618,38.392,117025.745,82300,2,IL,LA,64,IL_LA_MVR_64_SurveyPairVolumeDifference.csv,6/28/2022,6/29/2022,1,117026,321,11,IL_LA_MVR_20220629_CS_14001430_22A,IL_LA_MVR_20220629_CS_14001430_22A,1day datediff
-140.752,-49.188,-51374.52,28200,0.66,IL,LA,67,IL_LA_MVR_67_SurveyPairVolumeDifference.csv,8/18/2015,8/19/2015,1,-51375,-141,-15,IL_LA_MVR_20150818_CS_14501465_15D,"IL_LA_MVR_20150818_CS_14501465_15D, IL_LA_MVR_20150819_CS_14651470_15D",1day datediff
2159.406,37.204,98522.906,71500,1.68,IL,LA,67,IL_LA_MVR_67_SurveyPairVolumeDifference.csv,4/24/2001,5/2/2001,8,12315,270,11,·IL_LA_MVR_20010502_CS_14701485_01A,"·IL_LA_MVR_20010502_CS_14701485_01A,  IL_LA_MVR_20010424_CS_14431471_01A",overlap small date diff
-909635.177,-93.012,-4811838.254,1396800,38.36,IL,LA,68,IL_LA_MVR_68_SurveyPairVolumeDifference.csv,3/30/2010,6/7/2010,69,-69737,-13183,-28,IL_LA_MVR_20100330_CS_14701485_10A,IL_LA_MVR_20100330_CS_14701485_10A,"singlebeam to multibeam comparison, multibeam off channel"
-1349383.823,-63.803,-4735818.226,2004100,55.04,IL,LA,68,IL_LA_MVR_68_SurveyPairVolumeDifference.csv,3/30/2010,7/12/2010,104,-45537,-12975,-19,IL_LA_MVR_20100330_CS_14701485_10A,IL_LA_MVR_20100330_CS_14701485_10A,"singlebeam to multibeam comparison, multibeam off channel"
-85733.408,-55.893,-401188.383,193800,5.32,IL,LA,68,IL_LA_MVR_68_SurveyPairVolumeDifference.csv,4/19/2011,7/6/2011,78,-5143,-1099,-17,IL_LA_MVR_20110419_CS_14781479_11A,"IL_LA_MVR_20110419_CS_14781479_11A, IL_LA_MVR_20110706_CS_14651480_11B",off channel survey
1723857.961,45.617,4059407.458,2402700,65.98,IL,LA,68,IL_LA_MVR_68_SurveyPairVolumeDifference.csv,10/26/2009,3/30/2010,155,26190,11122,14,IL_LA_MVR_20100330_CS_14701485_10A,IL_LA_MVR_20100330_CS_14701485_10A,multibeam off channel
1964618.797,37.04,3658601.332,2666900,73.24,IL,LA,68,IL_LA_MVR_68_SurveyPairVolumeDifference.csv,9/15/2009,3/30/2010,196,18666,10024,11,IL_LA_MVR_20100330_CS_14701485_10A,IL_LA_MVR_20100330_CS_14701485_10A,multibeam off channel
