channelreachidpk,channelareaidfk,sdsfeaturedescription,mediaidfk,sdsid,sdsmetadataid,sourceprojection,mileagestart,mileageend,reportedlength,depthmaintained,depthauthorized,widthfrom,widthto,datecreated,sdsfeaturename,dateuploaded,sourceagency,usacedistrictcode,dateloadedenterprise,projectedarea,areasizeuom,channelreachcategory,channelreachtype,epsg,Shape__Area,Shape__Length
CEMVR_UM_22_MVR_19,CEMVR_UM_22_MVR,Pool 22 RM 306 - 307,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{E8BE1466-4CAD-4836-8C89-0B764141C35D},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,306.000000000000000,307.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,Upper Mississippi River Pool 22,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,17100826.096836268901825,Square Foot,Inland,non_fixed,3436,0.000166799507394,0.068284181158571
CEMVR_UM_22_MVR_20,CEMVR_UM_22_MVR,Pool 22 RM 305 - 306,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{CB809F53-5D96-4FB5-AF0F-DD01552C651C},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,305.000000000000000,306.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,Upper Mississippi River Pool 22,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,19196270.328967511653900,Square Foot,Inland,non_fixed,3436,0.000187212946577,0.103169905718409
CEMVR_UM_22_MVR_21,CEMVR_UM_22_MVR,Pool 22 RM 304 - 305,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{0E29CD64-F26C-4D7F-9AC6-7208ED7EADE5},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,304.000000000000000,305.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,Upper Mississippi River Pool 22,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,16514854.312306489795446,Square Foot,Inland,non_fixed,3436,0.000161042741118,0.079480582194645
CEMVR_UM_22_MVR_22,CEMVR_UM_22_MVR,Pool 22 RM 303 - 304,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{FD734DBA-15FA-45C8-BA24-6246C1771DB7},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,303.000000000000000,304.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,Upper Mississippi River Pool 22,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,16546047.472940329462290,Square Foot,Inland,non_fixed,3436,0.000161324595163,0.090397282899725
CEMVR_UM_22_MVR_23,CEMVR_UM_22_MVR,Pool 22 RM 302 - 303,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{F4632690-9F09-41B7-A173-B5D077F296D1},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,302.000000000000000,303.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,Upper Mississippi River Pool 22,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,18804779.263173218816519,Square Foot,Inland,non_fixed,3436,0.000183319737925,0.142387949207636
CEMVR_UM_22_MVR_24,CEMVR_UM_22_MVR,Pool 22 RM 301.2 - 302,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{374AEE00-89CF-413C-8B12-9DC407EC2E6A},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,301.199999999999989,302.000000000000000,0.800000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,Upper Mississippi River Pool 22,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,13731330.316324610263109,Square Foot,Inland,non_fixed,3436,0.000133842151464,0.074255544067572
CEMVR_UM_24_MVR_1,CEMVR_UM_24_MVR,Pool 24 RM 300 - 301.2,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{EB13BC30-1E35-4543-89D5-F059DBB2C1E4},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,300.000000000000000,301.199999999999989,1.200000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,Upper Mississippi River Pool 24,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,15131426.784264719113708,Square Foot,Inland,non_fixed,3436,0.000147467002389,0.102693327577794
CEMVR_IL_LA_MVR_1,CEMVR_IL_LA_MVR,La Grange Pool RM 80.2 - 81,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{eb1fd3de-5b6e-474a-90c1-2dd913076469},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,80.200000000000003,81.000000000000000,0.800000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3667824.406413210090250,Square Foot,Inland,non_fixed,3436,0.000035913780721,0.036238987948647
CEMVR_IL_LA_MVR_10,CEMVR_IL_LA_MVR,La Grange Pool RM 89 - 90,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{32475248-9cff-44d3-b5ab-a53ea37adf97},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,89.000000000000000,90.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,4172225.029169430024922,Square Foot,Inland,non_fixed,3436,0.000040904071966,0.035500671906974
CEMVR_IL_LA_MVR_11,CEMVR_IL_LA_MVR,La Grange Pool RM 90 - 91,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{0fd7bf89-96b2-41bb-ac2e-c9cb2c2cd1f8},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,90.000000000000000,91.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3904206.419660420157015,Square Foot,Inland,non_fixed,3436,0.000038284064203,0.035270523379335
CEMVR_IL_LA_MVR_12,CEMVR_IL_LA_MVR,La Grange Pool RM 91 - 92,NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,{b878822e-003c-4d4a-8cc9-83260efde843},NCF_CEMVR_DIS_ILLINOIS_WEST_20230203.ZIP,NAD_1983_StatePlane_Illinois_West_FIPS_1202_Feet,91.000000000000000,92.000000000000000,1.000000000000000,9.000000000000000,9.000000000000000,999.000000000000000,999.000000000000000,,IL Waterway La Grange Pool,2/3/2023 0:00:00.000,CEMVR_DIS,CEMVR,10/28/2024 7:18:03.000,3864528.065523639786988,Square Foot,Inland,non_fixed,3436,0.000037902693521,0.040768756375526
