SURVEYJOBIDPK,SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,MEDIAIDFK,SURVEYTYPE,SURVEY_YEAR,DATE_START,DATE_END,DN_RIV_MIL,UP_RIV_MIL,RIVER,POOL,SURVEY_VESSEL,SURVEY_LOCATION,DATA_DENSITY,WATER_SURFACE,WS_DATUM,STAGE,LOL_SURFACE,LABOR_SOURCE,PLOT_LINK,POINT_COUNT,Z_MIN,Z_MAX,Z_MEAN,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
MVRUM22_31103125_05C,,TURTLE ISLAND TO WHITNEY LOWER,,,,conditional,2005,20050727,20050727,311,312.5,Mississippi_River,22,HOLLING,CHANNEL,200,460.1,MSL 1912,0.6,459.5,Hired_Labor,,16249,-40.58,-7.74,-15.6529768,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31903205_14A,,NE MO Power Lower to NE MO Power Upper,,,,conditional,2014,20140815,20140815,319,320.5,Mississippi_River,22,HINDS,CHANNEL,200,462.8,MSL 1912,3.3,459.5,Hired_Labor,,25053,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31903205_12A,,NE MO Power Lower,,,,conditional,2012,20120515,20120515,319,320.5,Mississippi_River,22,HINDS,CHANNEL,200,466.4,MSL 1912,6.9,459.5,Hired_Labor,,14659,-25.52,1.89,-13.56190122,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31103125_06A,,TURTLE ISLAND TO WHITNEY ISLAND LOWER,,,,conditional,2006,20060615,20060615,311,312.5,Mississippi_River,22,HINDS,CHANNEL,200,460.6,MSL 1912,1.1,459.5,Hired_Labor,,19311,-44.98,-2.62,-15.69453265,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31503170_03B,,BEBEE UPPER,,,,conditional,2003,20030910,20030910,315,317,Mississippi_River,22,HOLLING,CHANNEL,100,460,MSL 1912,0.5,459.5,Hired_Labor,,32139,-40.91,-5.05,-15.61648713,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_32463249_05A,,Lock 21 Lower,,,,examinationSurvey,2005,20051122,20051122,324.6,324.8,Mississippi_River,22,HINDS,PERIPHERAL,50,461.9,MSL 1912,2.4,459.5,Hired_Labor,,12758,-44.62,-2,-21.66567957,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31173130_06C,,TURTLE ISLAND TO WHITNEY ISLAND LOWER,,,,conditional,2006,20060808,20060808,311.8,313,Mississippi_River,22,HINDS,CHANNEL,200,460.3,MSL 1912,0.8,459.5,Hired_Labor,,16318,-39.8,-2.13,-15.54488356,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31303142_03A,,WHITNEY UPPER,,,,conditional,2003,20030812,20030812,313,314.2,Mississippi_River,22,HINDS,CHANNEL,200,460.3,MSL 1912,0.8,459.5,Hired_Labor,,21368,-31.86,-4.13,-13.53797688,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_32373246_05A,,ORTON ISLAND TO LOCK 21 LOWER,,,,conditional,2005,20051122,20051122,323.6,324.6,Mississippi_River,22,HINDS,CHANNEL,100,461.8,MSL 1912,2.3,459.5,Hired_Labor,,11862,-20.37,-1.74,-12.43197184,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31063120_12A,,Turtle Island,,,,conditional,2012,20120516,20120516,310.6,312,Mississippi_River,22,HINDS,CHANNEL,200,462.8,MSL 1912,3.3,459.5,Hired_Labor,,20854,-36.36,3.42,-15.25898964,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30123015_11A,,Lock 22 Upper,,,,examinationSurvey,2011,20111102,20111102,300.9,301.5,Mississippi_River,22,HINDS,LOCK_DAM,50,459.5,MSL 1912,0,459.5,Hired_Labor,,14253,-40.6,-8.6,-28.25344138,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30533065_15B,,Harris Island to Cave Hollow,,,,conditional,2015,20150618,20150618,305.3,306.5,Mississippi_River,22,HINDS,CHANNEL,200,466.5,MSL 1912,7,459.5,Hired_Labor,,39691,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30553068_04D,,HARRIS ISLAND TO CAVE HOLLOW,,,,conditional,2004,20040803,20040803,305.5,306.8,Mississippi_River,22,HINDS,CHANNEL,200,460.2,MSL 1912,0.7,459.5,Hired_Labor,,19714,-18.7,-2.72,-11.83140154,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_32463251_05A,,Lock 21 Lower,,,,examinationSurvey,2005,20051013,20051013,324.9,325.1,Mississippi_River,22,HINDS,LOCK_DAM,50,470.5,MSL 1912,0.5,459.5,Hired_Labor,,26773,-44.62,-2,-21.66567957,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30403060_10D,,Saverton Bluff to Harris Island,,,,conditional,2010,20100601,20100601,304,306,Mississippi_River,22,COOT,CHANNEL,200,460.5,MSL 1912,1,459.5,Hired_Labor,,15012,-33.39,-5.05,-16.20198708,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30123249_10A,,Pool 22 LTRM Gap Survey,Task Order Western_W912EK-05-D-0004_MR-Bathymetric,,,conditional,2010,20091021,20100407,301.2,324.9,Mississippi_River,22,OTHER,CHANNEL,500,,MSL 1912,,459.5,Commercial,,89509,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM20_34323643_10A,,Pool 20 LTRM Gap Survey,Task Order Western_W912EK-05-D-0004_MR-Bathymetric,,,conditional,2010,20100404,20100501,343.2,364.3,Mississippi_River,20,OTHER,CHANNEL,500,,MSL 1912,,,Commercial,,69183,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM19_36434105_10A,,Pool 19 LTRM Gap Survey,Task Order Eisenbraun_W912EK-10-D-0001_TO3_MR-Bathy,,,conditional,2010,20100323,20100425,364.3,410.5,Mississippi_River,19,OTHER,CHANNEL,500,,MSL 1912,,518.2,Commercial,,438629,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM16_45724829_10A,,Pool 16 LTRM Gap Survey,Task Order Eisenbraun_W912EK-10-D-0001_TO3_MR-Bathy,,,conditional,2010,20100425,20100506,457.2,482.9,Mississippi_River,16,OTHER,CHANNEL,500,,MSL 1912,,545,Commercial,,159947,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWPE_15792309_10A,,Peoria Pool LTRM Gap Survey,Task Order Western_W912EK-05-D-0004_MR-Bathymetric,,,conditional,2010,20100616,20100720,157.9,230.9,Illinois_Waterway,PE,OTHER,CHANNEL,500,,NGVD 29,,440,Commercial,,184910,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWSR_23112445_10A,,Starved Rock Pool LTRM Gap Survey,Task Order Eisenbraun_W912EK-10-D-0001_TO3_MR-Bathy,,,conditional,2010,20100602,20100603,231.1,244.5,Illinois_Waterway,SR,OTHER,CHANNEL,500,,NGVD 29,,458.5,Commercial,,25705,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM14_49335225_10A,,Pool 14 LTRM Gap Survey,Task Order Eisenbraun_W912EK-10-D-0001_TO3_MR-Bathy,,,conditional,2010,20100508,20100604,493.3,522.5,Mississippi_River,14,OTHER,CHANNEL,500,,MSL 1912,,572,Commercial,,225900,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWMA_24452713_10A,,Marseilles Pool LTRM Gap Survey,Task Order Eisenbraun_W912EK-10-D-0001_TO3_MR-Bathy,,,conditional,2010,20100602,20100603,244.5,271.3,Illinois_Waterway,MA,OTHER,CHANNEL,500,,NGVD 29,,482.8,Commercial,,34086,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM15_48294933_10A,,Pool 15 LTRM Gap Survey,Task Order Eisenbraun_W912EK-10-D-0001_TO3_MR-Bathy,,,conditional,2010,20100507,20100508,482.9,493.3,Mississippi_River,15,OTHER,CHANNEL,500,,MSL 1912,,561,Commercial,,34950,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM17_43714572_10A,,Pool 17 LTRM Gap Survey,Task Order Eisenbraun_W912EK-10-D-0001_TO3_MR-Bathy,,,conditional,2010,20100421,20100425,437.1,457.2,Mississippi_River,17,OTHER,CHANNEL,500,,MSL 1912,,536,Commercial,,122164,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM11_58306151_10A,,Pool 11 LTRM Gap Survey,Task Order Eisenbraun_W912EK-10-D-0001_TO1_MR-Bathy,,,conditional,2010,20100605,20100620,583,615.1,Mississippi_River,11,OTHER,CHANNEL,500,,MSL 1912,,603,Commercial,,226371,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30503058_15D,,Harris Island,,,,conditional,2015,20151028,20151028,305,305.8,Mississippi_River,22,HINDS,CHANNEL,200,459.7,MSL 1912,0.2,459.5,Hired_Labor,,14170,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31203130_14A,,Whitney Island Lower Thalweg,,,,conditional,2014,20140605,20140605,312,313,Mississippi_River,22,HINDS,CHANNEL,100,468.1,MSL 1912,8.6,459.5,Hired_Labor,,57076,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31283143_10A,,WHITNEY ISLAND LOWER TO WHITNEY ISLAND UPPER,,,,conditional,2010,20100903,20100903,312.8,314.3,Mississippi_River,22,COOT,CHANNEL,200,464.8,MSL 1912,5.3,459.5,Hired_Labor,,8834,-36.76,-3.77,-14.47913629,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30123020_15A,,Lock 22 Upper,,,,conditional,2015,20150721,20150721,301.2,302,Mississippi_River,22,COOT,CHANNEL,200,460.4,MSL 1912,0.9,459.5,Hired_Labor,,7324,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30883088_04A,,HANNIBAL MARINA,,,,conditional,2004,20040304,20040304,308.8,308.8,Mississippi_River,22,COOT,PERIPHERAL,100,461.1,MSL 1912,1.6,459.5,Hired_Labor,,2136,-23.8,-0.4,-4.51338951,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30503070_07A,,HARRIS ISLAND TO CAVE HOLLOW,,,,conditional,2007,20070531,20070531,305,307,Mississippi_River,22,HINDS,CHANNEL,200,460.9,MSL 1912,1.4,459.5,Hired_Labor,,17347,-36.2,-2,-13.53319306,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM18_41054371_10A,,Pool 18 LTRM Gap Survey,Task Order Western_W912EK-05-D-0004_MR-Bathymetric,,,conditional,2010,20100514,20100607,410.5,437.1,Mississippi_River,18,OTHER,CHANNEL,500,,MSL 1912,,528,Commercial,,80500,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31153125_03C,,TURTLE ISLAND,,,,beforeDredging,2003,20030903,20030903,311.5,312.5,Mississippi_River,22,COOT,CHANNEL,200,459.9,MSL 1912,0.4,459.5,Hired_Labor,,4624,-26,-5.7,-13.94117647,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31103125_08A,,TURTLE ISLAND TO WHITNEY ISLAND LOWER,,,,beforeDredging,2008,20080806,20080806,311,312.5,Mississippi_River,22,HINDS,CHANNEL,200,462.5,MSL 1912,3,459.5,Hired_Labor,,17590,-34.58,3.05,-15.85884878,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30543062_09G,,HARRIS ISLAND,,,,conditional,2009,20091119,20091119,306.2,305.4,Mississippi_River,22,HOLLING,CHANNEL,5,463,MSL 1912,3.5,459.5,Hired_Labor,,30040,-19.75,-6.27,-11.97079893,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31103120_09B,,TURTLE ISLAND,,,,conditional,2009,20090728,20090728,311,312,Mississippi_River,22,HINDS,CHANNEL,200,462,MSL 1912,2.5,459.5,Hired_Labor,,11536,-31.3,-4,-15.32635229,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_31943204_13B,,NE MO Power Lower,,,,conditional,2013,20130910,20130910,319.4,320.4,Mississippi_River,22,HINDS,CHANNEL,50,460.4,MSL 1912,0.9,459.5,Hired_Labor,,20303,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRUM22_30213021_99A,,Wingdam 9R,,,,conditional,1999,19990707,19990707,302.1,302.1,Mississippi_River,22,SWEATT,PERIPHERAL,50,460,MSL 1912,0.5,459.5,Hired_Labor,,3492,-22,-2.7,-12.38225945,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRDMRR_POOLXSEC_11A,,Lake Red Rock Pool Sedimentation Cross Sections,"Most of the main lake is spaced at 500'. Teter Creek, Marina Cove higher density; Upstream end at 1000'.",,,controlledSurvey,2011,20110614,20110629,,,Des_Moines_River,RR,COOT,CHANNEL,1000,771.9,NGVD 29,29.9,742,Hired_Labor,,23340,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIACV_POOLXSEC_08A,,Coralville Pool Sedimentation Cross Sections - Downstream from I-380 Bridge,,,,controlledSurvey,2008,20080512,20080515,,,Iowa_River,CV,COOT,CHANNEL,500,708.8,NGVD 29,25.8,683,Hired_Labor,,29382,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIACV_POOLHEAD_08A,,Coralville Pool Sedimentation Cross Sections - Upstream from I-380 Bridge,,,,controlledSurvey,2008,20080505,20080508,,,Iowa_River,CV,COOT,CHANNEL,1000,708.5,NGVD 29,25.5,683,Hired_Labor,,18608,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWDR_27552858_10B,,IENC Channel Survey Channel Lines - Moose Island to Brandon Road Lower,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100812,20100813,275.5,285.8,Illinois_Waterway,DR,OTHER,CHANNEL,400,,NGVD 29,,504.5,Commercial,,12732,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWMA_26222713_10A,,IENC Channel Survey Cross Sections - Material Service to Dresden Lower,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100809,20100811,262.2,271.3,Illinois_Waterway,MA,OTHER,CHANNEL,400,,NGVD 29,,482.8,Commercial,,5283,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWDR_28022858_10A,,IENC Channel Survey Cross Sections - Amoco Dock to Brandon Road Lower,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100812,20100813,280.2,285.8,Illinois_Waterway,DR,OTHER,CHANNEL,400,,NGVD 29,,504.5,Commercial,,3298,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWMA_25332601_10B,,IENC Channel Survey Channel Lines - Johnson Island to Bill's Run,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100809,20100811,253.3,260.1,Illinois_Waterway,MA,OTHER,CHANNEL,400,,NGVD 29,,482.8,Commercial,,12354,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWMA_24472533_10A,,IENC Channel Survey Cross Sections - Marseilles Upper to Seneca,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100809,20100811,244.7,253.3,Illinois_Waterway,MA,OTHER,CHANNEL,400,,NGVD 29,,482.8,Commercial,,5598,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWDR_27152802_10A,,IENC Channel Survey Cross Sections - Dresden Upper to Amoco Dock,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100812,20100813,271.5,280.2,Illinois_Waterway,DR,OTHER,CHANNEL,400,,NGVD 29,,504.5,Commercial,,6660,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWSR_23112387_10B,,IENC Channel Survey Channel Lines - Starved Rock Upper to Hitt Island,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100806,20100807,231.1,238.7,Illinois_Waterway,SR,OTHER,CHANNEL,400,,NGVD 29,,458.5,Commercial,,8928,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWSR_23112386_10A,,IENC Channel Survey Cross Sections - Starved Rock Upper to Hitt Island,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100806,20100807,231.1,238.6,Illinois_Waterway,SR,OTHER,CHANNEL,400,,NGVD 29,,458.5,Commercial,,6550,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWSR_23862445_10B,,IENC Channel Survey Channel Lines - Hitt Island to Marseilles Lower,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100806,20100807,238.6,244.5,Illinois_Waterway,SR,OTHER,CHANNEL,400,,NGVD 29,,458.5,Commercial,,7232,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
MVRIWMA_26002713_10B,,IENC Channel Survey Channel Lines - Bill's Run to Dresden Lower,Contract W9127S-10-D-6000 Task Order 4 Woolpert-SEAS,,,conditional,2010,20100809,20100811,260,271.3,Illinois_Waterway,MA,OTHER,CHANNEL,400,,NGVD 29,,482.8,Commercial,,14195,,,,B5ODTDJM,5/19/2016 14:07,B5ODTDJM,5/19/2016 14:07
