SurveyDateStamp	SurveyType	SurveyID	Reach_Name	Reach_ID	Cell_Size	Use	pctCoverage
19970325		IL_LA_MVR_19970325_CS_07920806_97A	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	66.92
19990830		IL_LA_MVR_19990830_CS_07920806_99A	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	57.11
20010328		IL_LA_MVR_20010328_CS_07990803_01A	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	18.63
20010723		IL_LA_MVR_20010723_CS_08000801_01B	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	3.5
20011107		IL_LA_MVR_20011107_CS_07990803_01C	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	19.62
20011220		IL_LA_MVR_20011220_CS_07990802_01D	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	12.15
20170510		IL_AL_MVR_20170510_OT_08000802_17A	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	16.07
20190417		IL_LA_MVR_20190417_CS_08000830_19A	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	15.48
20240215		IL_AL_MVR_20240215_CS_07990802_24A	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	24.82
20250415		IL_AL_MVR_20250415_CS_07990802_25A	Alton Pool RM 79 - 80.2	IL_AL_MVR_1	10	1	20.71
19970419		IL_BR_MVR_19970419_CS_28612863_97A	Brandon Road Pool RM 286 - 287	IL_BR_MVR_1	10	1	14.02
19970419		IL_BR_MVR_19970419_CS_28612863_97A	Brandon Road Pool RM 286 - 287	IL_BR_MVR_1	10	1	14.02
19990519		IL_BR_MVR_19990519_CS_28602910_99A	Brandon Road Pool RM 286 - 287	IL_BR_MVR_1	10	1	81.17
19990519		IL_BR_MVR_19990519_CS_28602910_99A	Brandon Road Pool RM 286 - 287	IL_BR_MVR_1	10	1	81.17
