Date,BEAI2,BRLI4,CMMI4,DBQI4,FAII4,HAVI2,HNYI2,IL03,IL03_Tail,IL04,IL04_Tail,IL05,IL05_Tail,IL06,IL06_Tail,IL07,IL07_Tail,IL08,IL08_Tail,KHBI2,KNGI2,MI11,MI11_Tail,MI12,MI12_Tail,MI13,MI13_Tail,MI14,MI14_Tail,MI15,MI15_Tail,MI16,MI16_Tail,MI17,MI17_Tail,MI18,MI18_Tail,MI19,MI19_Tail,MI20,MI20_Tail,MI21,MI21_Tail,MI22,MI22_Tail,MORI2,MUSI4,PIAI2,UINI2
01Apr1999,430.14,521,574,595,546,433,,,,,,,,,,,,,,531,434,603,595,592,587,583,575,572,563,561,550,545,540,536,534,528,522.55,518.19,484,479,475,470,464,459,453,484,539,,470
01Apr1999,,,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01Apr1999,,,,,,,,539,505,505,485,484,459,459,443,441,434,429,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,
02Apr1999,430.23,521,574,595,546,433,,,,,,,,,,,,,,531,435,603,595,592,587,583,575,572,563,561,549,545,539,536,533,528,522.3,518.12,484,480,475,470,465,460,454,484,539,,470
02Apr1999,,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02Apr1999,,,,,,,,539,504,505,485,484,459,459,442,440,435,429,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,
03Apr1999,430.32,521,574,595,546,434,,,,,,,,,,,,,,531,436,603,595,592,587,583,575,572,563,561,550,545,539,536,533,528,522.22,518.13,483,479,475,470,465,460,454,485,539,,470
03Apr1999,,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03Apr1999,,,,,,,,539,505,505,485,483,459,459,443,440,436,429,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,
04Apr1999,430.46,521,574,595,546,434,,,,,,,,,,,,,,532,435,603,595,592,588,583,576,572,563,561,550,545,540,536,534,528,522.34,518.26,483,479,474,470,464,459,453,484,539,,470
04Apr1999,,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04Apr1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04Apr1999,,,,,,,,539,505,505,485,483,459,459,442,440,435,430,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,
