Reach_ID,AverageRate_FtPerYr,MaxAverageRate_FtPerYr,MinAverageRate_FtPerYr
CEMVR_IL_LA_MVR_1,0.325,6.015,-11.812
CEMVR_IL_LA_MVR_10,0.061,1.434,-3.023
CEMVR_IL_LA_MVR_11,0.324,1.985,-3.308
CEMVR_IL_LA_MVR_12,0.014,9.262,-15
CEMVR_IL_LA_MVR_13,0,0.931,-1.211
CEMVR_IL_LA_MVR_14,0,30,-15
CEMVR_IL_LA_MVR_15,0,1.852,-4.728
CEMVR_IL_LA_MVR_16,0,0.76,-0.982
CEMVR_IL_LA_MVR_17,0,1.014,-1.078
CEMVR_IL_LA_MVR_18,0,9.597,-6.095
CEMVR_IL_LA_MVR_19,0,20.017,-15
CEMVR_IL_LA_MVR_2,0.044,4.242,-2.834
CEMVR_IL_LA_MVR_20,0,0.746,-1.51
CEMVR_IL_LA_MVR_21,0.056,0.769,-1.259
CEMVR_IL_LA_MVR_22,0.105,30,-1.361
CEMVR_IL_LA_MVR_23,0.038,1.466,-2.473
CEMVR_IL_LA_MVR_24,0.042,2.275,-4.117
CEMVR_IL_LA_MVR_25,0,1.921,-4.081
CEMVR_IL_LA_MVR_26,0,2.35,-3.199
CEMVR_IL_LA_MVR_27,0,3.068,-7.343
CEMVR_IL_LA_MVR_28,0,1.772,-4.669
CEMVR_IL_LA_MVR_29,0.225,21.397,-15
CEMVR_IL_LA_MVR_3,0.416,2.846,-1.668
CEMVR_IL_LA_MVR_30,0.058,30,-11.969
CEMVR_IL_LA_MVR_31,0.197,19.518,-11.84
CEMVR_IL_LA_MVR_32,0.229,15.432,-15
CEMVR_IL_LA_MVR_33,0.134,6.393,-6.669
CEMVR_IL_LA_MVR_34,0.195,8.591,-6.743
CEMVR_IL_LA_MVR_35,0.6,30,-8.199
CEMVR_IL_LA_MVR_36,0.602,30,-15
CEMVR_IL_LA_MVR_37,0.39,27.394,-7.277
CEMVR_IL_LA_MVR_38,0.117,30,-15
CEMVR_IL_LA_MVR_39,0.013,1.996,-4.748
CEMVR_IL_LA_MVR_4,0.255,2.838,-2.548
CEMVR_IL_LA_MVR_40,0.017,4.676,-15
CEMVR_IL_LA_MVR_41,0.019,12.26,-10.735
CEMVR_IL_LA_MVR_42,0,30,-9.323
CEMVR_IL_LA_MVR_43,0,3.811,-13.548
CEMVR_IL_LA_MVR_44,0,1.337,-12.919
CEMVR_IL_LA_MVR_45,0,15.522,-8.497
CEMVR_IL_LA_MVR_46,0,1.669,-7.199
CEMVR_IL_LA_MVR_47,0,0.882,-1.707
CEMVR_IL_LA_MVR_48,0,1.078,-2.221
CEMVR_IL_LA_MVR_49,0.161,13.422,-6.293
CEMVR_IL_LA_MVR_5,0.105,5.416,-6.803
CEMVR_IL_LA_MVR_50,0.029,3.83,-4.889
CEMVR_IL_LA_MVR_51,0,3.01,-4.116
